name,city,country,status,area,motorbike_minutes_to_poblado,motorbike_minutes_to_laureles,temp_min_c,temp_max_c,rent_usd,safety,noise,walkability,vibe,verdict,notes,lat,lon,radius_m
El Poblado,Medellin,Colombia,yellow,Comuna 14 - El Poblado,0.0,13.3,15.2,28.2,900,good,loud,high,expat/nightlife,maybe,Safe and green but pricey and touristy,6.2103777,-75.5709171,1300
Laureles,Medellin,Colombia,green,Comuna 11 - Laureles-Estadio,13.3,0.0,15.4,28.4,650,good,moderate,high,local/leafy,shortlist,"Grid streets, good cafes, quieter than Poblado",6.2419995,-75.5958328,1400
La Candelaria,Medellin,Colombia,red,Comuna 10 - La Candelaria,12.2,9.0,15.4,28.4,400,poor,very loud,high,historic/chaotic,avoid,"El Centro. Busy in the day, avoid at night",6.2505337,-75.5667115,1000
Belen,Medellin,Colombia,yellow,Comuna 16 - Belen,11.8,3.4,15.3,28.3,500,fair,moderate,medium,local/residential,maybe,"Cheaper, less touristy, mixed safety by block",6.2325357,-75.5966770,1400
U.P.B,Medellin,Colombia,institutional,,11.9,1.9,15.5,28.5,,,,,,,,,,
Cerro Nutibara (Inst_18),Medellin,Colombia,institutional,,8.5,5.5,15.6,28.6,,,,,,,,,,
Mirador del Doce,Medellin,Colombia,,Comuna 6 - Doce de Octubre,28.9,18.6,13.8,26.8,,,,,,,,,,
El Nogal-Los Almendros,Medellin,Colombia,,Comuna 16 - Belen,12.1,1.8,15.4,28.4,,,,,,,,,,
El Triunfo,Medellin,Colombia,,Comuna 6 - Doce de Octubre,30.3,19.8,13.3,26.3,,,,,,,,,,
Enciso,Medellin,Colombia,,Comuna 8 - Villa Hermosa,13.1,13.6,14.9,27.9,,,,,,,,,,
La Esperanza (Comuna 6 - Doce de Octubre),Medellin,Colombia,,Comuna 6 - Doce de Octubre,25.5,16.1,15.0,28.0,,,,,,,,,,
Las Estancias,Medellin,Colombia,,Comuna 8 - Villa Hermosa,12.7,19.2,14.1,27.1,,,,,,,,,,
Pablo VI,Medellin,Colombia,,Comuna 2 - Santa Cruz,28.9,22.3,15.4,28.4,,,,,,,,,,
Ecoparque Cerro El Volador,Medellin,Colombia,institutional,,17.9,8.3,14.9,27.9,,,,,,,,,,
Versalles No.1,Medellin,Colombia,,Comuna 3 - Manrique,18.3,16.9,14.0,27.0,,,,,,,,,,
Altos del Poblado,Medellin,Colombia,,Comuna 14 - El Poblado,4.8,16.2,14.1,27.1,,,,,,,,,,
Universidad Nacional,Medellin,Colombia,institutional,,16.4,8.3,15.7,28.7,,,,,,,,,,
El Diamante,Medellin,Colombia,,Comuna 7 - Robledo,23.8,13.0,14.7,27.7,,,,,,,,,,
